speaker_id,username,predicted_id,predicted_username,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
abarzuaf,abarzuaf,20101026,abarzuaf,0.8623108,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.78375125,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.86855316,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8377172,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8584783,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.9044026,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8285632,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.83305645,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.7921699,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.80277824,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.844067,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.78378224,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.7263738,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8034185,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8021147,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.77569467,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8260423,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8377199,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
abarzuaf,abarzuaf,20101026,abarzuaf,0.8340712,True,Masculino,Adulto,Español Chile,n/a,Micrófono de Escritorio,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.8201796,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.77006483,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.81019425,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.8630682,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.81087005,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.8145761,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.741174,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.7679641,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
AbdielNavarro,AbdielNavarro,20130409,AbdielNavarro,0.822839,True,Masculino,Adulto,Español Mexicano,n/a,Micrófono Auricular,48000
abraham,abraham,20140704,abraham,0.78889275,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.8235383,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.86303574,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7343265,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.8349966,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.69348574,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.8004509,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.8059627,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.84269756,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7287284,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.85801125,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.83750325,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7553585,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7380879,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.85645187,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.80511653,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7895209,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.68474114,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7587789,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.77613044,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.57479453,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
abraham,abraham,20140704,abraham,0.7253063,True,Masculino,Adulto,Español Latinoamerica,n/a,Micrófono de Cámara Web,48000
