speaker_id,username,predicted,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
20080430,Alblasco1702,20080430,0.79074347,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.7329187,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.7040005,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.782989,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.84381974,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.84570074,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.7735673,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.7655157,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080430,Alblasco1702,20080430,0.8363675,True,mannelijk,senior,algemeen Nederlands,n/a,headsetmicrofoon,48000
20071225,anneke,20071225,0.69135684,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.79167265,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6600722,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.75474817,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7499749,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.66289866,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7368666,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7317879,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7882088,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.8013323,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6926041,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7579975,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6483562,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6975573,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.76209915,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.77792776,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6450444,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7902051,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.735759,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7065027,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7495583,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.67845696,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7233681,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7513137,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.77716386,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.6995451,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.7993854,True,female;,,algemeen Nederlands.,,,
20080120,anonymous,20080120,0.7591295,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
20071225,anneke,20071225,0.7645223,True,female;,,algemeen Nederlands.,,,
20080120,anonymous,20080120,0.7464305,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
20071225,anneke,20071225,0.78545964,True,female;,,algemeen Nederlands.,,,
20071225,anneke,20071225,0.744038,True,female;,,algemeen Nederlands.,,,
20080120,anonymous,20080120,0.64552784,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080120,anonymous,20080120,0.7020266,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080120,anonymous,20080120,0.6916604,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
20080120,anonymous,20080120,0.8127904,True,mannelijk,volwassen,algemeen Nederlands,n/a,headsetmicrofoon,48000
